cat horse dog iguana banana,uYvkSqzmRgwNhwKF,"b'I\xfb.oC\xdds6,a\xfa\xa0\xba\x00\xfa\xa0\x83\xfe\xbd\x927\xe7\xbf~""\xeb\x900i\x05W\xb3'",AES
cat horse dog iguana banana,uYvkSqzmRgwNhwKF,b')\x8a\xe5\xa6\x05\xd6\xdc\xce>\xfa\x97\x84LK\x1aT\xee\xd0\x91\xbcZg%2\x17\x01\x11\xbeT\xf5\x9f\x9e',DES
cat horse dog iguana banana,uYvkSqzmRgwNhwKF,b'\x8a<W\x8f.7$\xa345\x12\xb19V\xd4!\xaf\xc13B\xc1\xbd#\xd8\xe6\xbf\xf5',ARC4
fox gorilla elephant,INGACXLmQeAXdKHO,b'\xfb\xed\x18\xb8mU\x9d@\x19$\xa2 \x82\xab\x01\x91z\x83K\x9c\x1b\x1f\x19Z\xea\x9a\x8a\x1a\x9f\x8a^_',AES
fox gorilla elephant,INGACXLmQeAXdKHO,b'\x87\x1b\x14I\x80L\xc3U\xa3\xf9\x980\x92\xa3\x0e\x87\xf3\xf5\x9b\x05\x97\xdb*O',DES
fox gorilla elephant,INGACXLmQeAXdKHO,b'?\xda\x141)x\x05\xeb\x0c^\xe7J\xd7\xf3~\xd6e7\xbd\xe3',ARC4
apple cat elephant,bMrUpFSuGIoZRBCX,b'\xad\xb2\xe5r\xfe\xd6\x0f\xa5\xec\x1c\xfc\xac\xfd\xb3dR\n\xb3H\x88\x08\xaax8lf\xaefS\xe3\x98e',AES
apple cat elephant,bMrUpFSuGIoZRBCX,b'\xcb=8_>m\xd1\x9c \xde-m\xc5\r\xbbB\xeeN\x04qB\\\xf9\xd5',DES
apple cat elephant,bMrUpFSuGIoZRBCX,b'\xc3\xe0B8>\xf3\xf0D\xab\x0fdy7\xea3\x99\xc4\x1e',ARC4
fox dog fox banana cat banana,sluPyuPumJxvbXzK,b'0C\xd0\x8aF\xc2\xa8;\x87\x04\xb2*\xff\xb3\xe8\xee\xa3:\x9c\xd3\xb9\xea\xdb\x1ad\xc9\xd8G{0\x9e+',AES
fox dog fox banana cat banana,sluPyuPumJxvbXzK,b'\x8d\n\x11\x96\xfc\xddu#\x1e\xbe\xe8m\xe3\xb7^^\xb2\x83y\xb0\xde>\xa7Z.+ r)\xa3\xec\xc1',DES
fox dog fox banana cat banana,sluPyuPumJxvbXzK,b'\x8d\xca\x80&3\xa1\xe4\xaau!\\\xb5h\x85\xcf\xcf\xec\xd7\xbad {\x8fb\xf3=\xd4\x91\x06',ARC4
dog gorilla dog dog fox,cTMWWLaldvDIobhe,b'\xbfK\x06&\xe2wU\xae\xef1\x1b\x1c\x0f_\x85\x8f\xcdw\xd0q~\xa2\x1c\x92Y\xd9f\x9567\xd1r',AES
dog gorilla dog dog fox,cTMWWLaldvDIobhe,b'\x90\xae\xa7\xa7\xfe|D~e\x7f\xefY\x07L^\xbdN\x06\xaf\xb7\x0f\xe4]\xd3',DES
dog gorilla dog dog fox,cTMWWLaldvDIobhe,b'x\xe3p\xd0\x19\xc7\xc9\xe5X|?\xbax\x03\x91\xb6\x11\x9a\x1crl\x97\xac',ARC4
apple elephant horse fox banana jaguar gorilla dog,JoxvzUGbvEkbmTXx,b'\x18rq\xeeD\xb2\xeb\x7f\x17tq<@ .\xfa\xdbCo\x07\x16&\xac\xc0\xa3\x9d\x90\xd0\xcc?\xb1@x\x02E\x89\xd8\xb5ZCu\xfa\x1f\x90\x0e\x7f\xd34;\xbb:\x0cl\x10\x14)\x03\x82\xc7\x93\x86\xa2\xf4\xcf',AES
apple elephant horse fox banana jaguar gorilla dog,JoxvzUGbvEkbmTXx,b'W\xd5w\xb1m\xe7[\xe5\xf0\x86\x81w\x11\xc0\xb0\xdc\x07!0\x89F\xd4\x05\xdd\xda\xe3N\x9c\x810\xb4z\xa3%\x12C\xe4<\xb3<\x8c\xad%G\xde\x9e\xca\xa8\x13\xd6\r+\x15x9x',DES
apple elephant horse fox banana jaguar gorilla dog,JoxvzUGbvEkbmTXx,"b""$\x80\xc5\x97/\x8b\xb9\x84\x12\xe5\x11-<W\x9ar\xa8\x16\x08d\x05^\xa6Y'\x8b)Z3;\xd1\xed\xbf\x8d\xb8\x8e\xd9z\xa6A\xaf\x89d\xddS\xf4\x1e'\x05-""",ARC4
gorilla cat gorilla apple horse cat iguana banana,YLSUMdeOfGAwztaI,b'\xc1 0i=\xcdM\xe9\xa3\xc9\x18\xf1\xb6\xd7?\xc1\xd6\xb5P\x0c|\x80F0\xd4\x82\x8d\xc4\x91\x86\x89~\x1d\xdealN\xef\x0e\xff\x93o\xaaU\x8fW\xe7\xfffwbk\xe9\x16\xbc\x8e\x9d\xc7}\x9b\xd7\x9dk)',AES
gorilla cat gorilla apple horse cat iguana banana,YLSUMdeOfGAwztaI,"b""\xaf\xf5\xb3\xd9R'Q9\x87\x7fd\x03\xe0\x14\x84\xa1\x1f]\xb0\xe6{\x97h\xaa^\xf3E\n\xa1\xaa8\xdc\xd5[\xde\xa0\x9e-l\xdeH\x8epSS%\x02\xcf\xf45)\x12\x9d\x17U]""",DES
gorilla cat gorilla apple horse cat iguana banana,YLSUMdeOfGAwztaI,b'\xa47\x85]+\x12\xb2|\xa2)\xe6\x0c\x7f_a\xec}\xe5V5n\xf2\x90;\xeb~ks\x81\xfb\x02bK\xde.c\x1e\xb0\x92g\xecE\xfd$b\xce\x15\xe1\xea',ARC4
dog horse fox iguana gorilla gorilla,oPHipbJuSVGqUeqE,b'H\xf9\xd6\x17\x9cFk\xeaA\x95ElJ\xb0\x1d\xd17f\xd3@?\xad\xd2n/\x92Wh\xd8f\x8b\x93\x85\xe4^\xc3\x88\xfa\x81\xdc\xda\xf1C\xa7\x1av\n\xd9',AES
dog horse fox iguana gorilla gorilla,oPHipbJuSVGqUeqE,"b""\x9e\xacU\x1a\x06\xac\x83\r\x8c\xc3\xeaf\xd01dl\xe3\xa4\x87\x8b'\xff\xb5\xd4s\xe5\x03rk\xfe\xdc\xf1j\x0f\x99{W\xf7\xf65""",DES
dog horse fox iguana gorilla gorilla,oPHipbJuSVGqUeqE,b'\xcb\xb0\xac\x7f\x1a/\xda\xd1\t\xf3\xbd\xfcWh\x8b\x15\x92\xd2@\xe3o\xfc\x12\x9ez9\xfd\x9c6\x90\xa3.X\xbe\xf2\xc3',ARC4
elephant cat cat dog iguana dog,sNihfAYstteIPRrR,"b'Z.;y\x1bctD_\xd7\x0e6 \xf0\xfd\xf4\x84?\x8eFJ\x82484|ux\xe2\xd5\x1a,'",AES
elephant cat cat dog iguana dog,sNihfAYstteIPRrR,"b""\xa2\xff\x1d\xd2\x80\xcd\xe0\xc4\x88\x0f\xbe\xcc\xaf\xe4\xba\x81P\xc8\xd2\x7fm\xcc\x05'\xfaX\xf6K\x07D\n\xa7""",DES
elephant cat cat dog iguana dog,sNihfAYstteIPRrR,b'\x95\x16:6\xc7jx\xf4\x93\x16\xadG\xeb\xb6\x0e\xa2\x96\xc9\xff\x1f\xe8\x89\x11\xcc\x18>\x02\xcaf\xd9\xcd',ARC4
dog fox dog banana jaguar elephant,LJpEtutaVOjikRNJ,b'\xf2\xd8N\\oz\x83;\x1d\x12d\x91\xd0\x12\xfd4=jq\x98l|\xcb\x18\x93\xa0\x9ai}\x82q+lN\xbf\x14\xea\x14\x86\xb2\x98\x03\xe5\xe3C\x01\xa3\x8f',AES
dog fox dog banana jaguar elephant,LJpEtutaVOjikRNJ,b'q\xd0[\xec\xb2\x14\x1a\xb5\x93j]$\xda\x8d\xf7\xd6\xab_P\xbc\xfe6\xbdQe\xaa\x9d\x02\xcf\xc3p\xe4d\xd9\x86\x86\xf5<\xcdi',DES
dog fox dog banana jaguar elephant,LJpEtutaVOjikRNJ,b'\x1dk.:*\xf8\xc0R\xac\x914\xf8\x95\xb9\xc0\xf4\xec\xcf\x8e\x06\xc8\x91\xb8O\x15L\x0b\x9a\xf5z\xb9\x99\xcd*',ARC4
gorilla fox fox dog iguana cat,JERtadEftPnfEnVt,b'&.\xba\xf6\x85D\x8b\xbab\xe6\xfe\xa7\x8dU3_uG\x1e\x05\xed\xfdj\x14\x9a\xc9\xc7\xac\x85&\x9e\x15',AES
gorilla fox fox dog iguana cat,JERtadEftPnfEnVt,b'E\x94\x8b\x16@\xd3.}\xea\xb2x\xbby\x03\xc0\xab#\xdf\xe7m\xf3I\xf1\xbb\x13\xbfrz\xbb\x8a\xbb\xca',DES
gorilla fox fox dog iguana cat,JERtadEftPnfEnVt,b'd\x16\xe2\x96\xed\xc7c\xf0\xd8\xf8\xff\x14\x96\xfcKQS(g\x93Y\xbe\x92\x98\xe8\x08D\xf4&\x12',ARC4
horse gorilla horse dog cat,qevSpbYPQyWahWHU,"b""\xe1\xa0\xeb\x970\x16\xc1\xe9T\x95\xa6'\xb1\xf2\xc5\x8c\xae\xd2\x9f3\xbfO4\xb7\xfb#Xr`p\xfd\x85""",AES
horse gorilla horse dog cat,qevSpbYPQyWahWHU,b'\x19!M\xee\x0e\x94<v\x90C=\x80Z\xbe\xdb\x00>p\xfd\xf8PIS\x0e\xff\x89\x13\xda\xad(p\xdf',DES
horse gorilla horse dog cat,qevSpbYPQyWahWHU,b'\x83{\x0b\x80\x1d?@5\x86\x0f\x912\x90Hl]\xcfsQ=\x0eN\xe3\xffCi5',ARC4
apple horse horse jaguar fox,HuUVVXegiyUutYMK,b'Hh\xaa\xf16\xe9\xa2-Z\xd7\xf7\xf8\x0f\xa7\xeb\xd0@$S\xb7\xe5vKP@\xb9\x05\\/\xd4\x0b\xe4',AES
apple horse horse jaguar fox,HuUVVXegiyUutYMK,b'\xd8\x88\xa1J\x8c\xcf\x18B\xe4V\x01\r\x81m\x82\x8f6\xc4\xfb\x1b\xf1s\xfc\x1e\x0f\xe4\xd7\xee4\xe1\x91+',DES
apple horse horse jaguar fox,HuUVVXegiyUutYMK,b'\xe0\xff|L\x82\xf9\xa3GDo]\np`\x98\x1f\xa9\xe4\t\x8bi\xa0p\xfe\xf5@@\x82',ARC4
iguana fox cat,FynhpquyrkAUydqn,b'\xc3:C!\xbdu\x83\x0b\xd4\x90\x1d~\x83\x04o\x89',AES
iguana fox cat,FynhpquyrkAUydqn,"b""8)\x1c\x122\xed\x1cn\x83\xfd\x91\xe9x'\xbc\x0b""",DES
iguana fox cat,FynhpquyrkAUydqn,"b'""U+$\x8d\xee\xdf\x19\xdc\xd8\x8b\x8dR\xbe'",ARC4
elephant cat elephant cat fox apple elephant,sJqQwKhNLSDOdiVX,b'\xbe\x82u\xbags\x03\x1dP%C\x9a\xaa9\xef\xbb\xc5\xde)\xcct0H\x0e\x91\xaa\x16\x1e)\xa5\x1d\x7fF>\xe2[\xee\x93\xdd\xe7sM\x8c\xee\xe9\xa5/\xe3',AES
elephant cat elephant cat fox apple elephant,sJqQwKhNLSDOdiVX,"b'n\xd4\xc9j\xae\x10\xa3\x95\x1f\xe4\x013,\x94\xcb\xa96<\xd0\xc1\xfe/B\xc5v\x9f~u@u\xfd\xfc;\xf0*\xcf\x9cyqA\xd3\xae*\xe7\xb9\xf8\xe3\x08'",DES
elephant cat elephant cat fox apple elephant,sJqQwKhNLSDOdiVX,b'J\xdb\x87\xf0\x9f\xcf\xe1\x99\xde\xcc\xd95\x99\x04\xfb\x97\xdc\xbdw\xaf\x94h\x88-n\xd70m\xf1\x1b\xd4\x8c6\xa1s\x81.N\x8aWr\xb5\xb66',ARC4
cat elephant horse jaguar iguana elephant iguana,csnYIUmuFSqmHyec,b'\xb4iu\xb5\x84.\x84\xa6\xa7\x94\xee\x9c!\xd4\xc4n~Q\x97.\xf9\xaa\x08\xeb\xff\xdbu\x98\xc82&\x9c\xee>\x02\xed\xa4\x8e\x89X\xb0\xb1\x13\xad\xe2\xacI%\x82\xd0\xba\x1fC\x0c\x00E\x9f\xeb\xac\xfc\x8e\x89\x1b\xb7',AES
cat elephant horse jaguar iguana elephant iguana,csnYIUmuFSqmHyec,"b""[&\x8c\xc8\xdc\xea\xb6\xc1\x9ez\xf8 H/\x7f\xaa\xf9%\xb0\x90\x06\x0b>_\x14\xa50E<NCv\xdc\xf2*a\x8c\x1e:^\x0e#'\xc3\x0e\xcd\xffe\xbc\xd7\x10\xf1Y\xb4p\xcd""",DES
cat elephant horse jaguar iguana elephant iguana,csnYIUmuFSqmHyec,"b""\xafW\x8b-\xe6c\xc6jw\xe0'^H\xa9\xf6\x0f\xce\xb55\xf1;\\\xa1\x88\xfd\x02a\xeb\xbc<J\x19\x1fB>v\xedB\xdd\xfb\x1d\x7f\xe6\x04\x18T\x98\x1c""",ARC4
cat horse fox iguana,JrXyBVPtHpIHQaUw,b'\xa55\xbb8\xac%D\xdf8\xb6\x0e\xbd\xaa\xbb\x9d\x91\xc8}B\x8cj\xba\xd2\x01v\xf1us3~\x9a\xd5',AES
cat horse fox iguana,JrXyBVPtHpIHQaUw,b'_\x80\xdby\x95\x96\xd8\\\xb4t\x97\xc4\xa6\xb7\x82H\xc1?\xee\xfaO\xcb7\x80',DES
cat horse fox iguana,JrXyBVPtHpIHQaUw,"b'c\xa7\'""\xc3\xc8\xf0\xe9\x0f\xe4\x1a\xf2\xf0\xef1\xa8\x8e\xee0^'",ARC4
gorilla fox horse horse fox,mqgAygcSVNpPgWZh,b'u\xe0\xe9\x12\x86\xc7\x91\x06=\x05-\x83>H\xfa$\xe2\r;\xbf\x9a\xa0^U\xc2\x17\xe8\xf7:\xf47o',AES
gorilla fox horse horse fox,mqgAygcSVNpPgWZh,b'e\xd0\xb8\xe9\x95\x1e\xfcX\xbf-\xa5A\x9fqTN\xa1\xf2\x7fC\xa7P\xe5\xaa\x97\xf6\x96\xd4\xca@\xb5H',DES
gorilla fox horse horse fox,mqgAygcSVNpPgWZh,b'fv\xe9\xf1\xe4mJ\xa4\x06\x97\x01^\xcb\x97\xfa\x89o\x02\xc6_\x06\x88(-S5\x8c',ARC4
fox fox cat banana gorilla iguana cat horse,xCUlEmbuLsJwFBqV,b'[8)\xdd\x8bb\xf5Q \xfe \xd6\xb4\x9d\xac\x83\x93\xc4Z\xfcF+\xc8\xf6C\xb0\xf0\x02u@\xc0\xbe.o}\x9f\xb2_\x07\x0b\xedb\xa3\xf4\x8c\x95(Z',AES
fox fox cat banana gorilla iguana cat horse,xCUlEmbuLsJwFBqV,"b'\xfe\xc9_x\x84U,\xb1%\xe9\xea\x10\xce\xb7M\xc6\x03\xe8\xda5\x07!\x16|5]k\xc7\xc9\xc61\xe5\x99C\xca\xc9$\x8f\x1c\x81\xb6\x03o\x00\x01\xf8\xdf\x19'",DES
fox fox cat banana gorilla iguana cat horse,xCUlEmbuLsJwFBqV,"b""IFF_mS-\xce\x96\x8e\xeczdn\xa4\x11\xf7\xcc\xcd\xc1HWI#\xd5rI\xc6\xf1\xe37\xe5\xb7\x11{\x81>\xfeO\x11\xaf'#""",ARC4
jaguar iguana cat iguana cat,uheHKuiWjfqibTgj,"b'\xd9\xde6\x96\xa7,\xa0GT-P\xd7\xf9S\xd4e\xf5\xc2\xf1\xacZ\x04\xc9obNt\xb9\xd6\xd4\x95\x87'",AES
jaguar iguana cat iguana cat,uheHKuiWjfqibTgj,b'7_\xde\x93\xb6Q\xdfoL\xa9\xdf] \xc7\xc6\xcc\x9d\xee\xb8\xb50\x1f-7\xa8g\xb3\x05\x0f\xab\xab\x11',DES
jaguar iguana cat iguana cat,uheHKuiWjfqibTgj,"b""'\xe17\xaf\x96\x17t&I\xf1X\x85\x04u\xb2\xdf\xbd[\xaf\xbdw\xea\xce?_\x8e\xaf\x97""",ARC4
cat gorilla elephant apple elephant banana,OBHWuwtOHGGWgwHe,b'\x84|\x9e\xbe\xaa*\x98\xc8\n\x1c\x8a\xe8l\xb6\x86\xdb\x0f\x8c\x9b\x8a8;e;\xcc\xcf\xa3\x8c .\x91q\xaco`[\xbc[\x1c\x89\xb4\xea.\xe1^\x0fcO',AES
cat gorilla elephant apple elephant banana,OBHWuwtOHGGWgwHe,"b""\x89!u1z\\\x1d\x95L@{t\xd9\xe9\x99\xf2B\xbeI\xb8\x16\x91\x80&\x1d\x0e-'\x02;-Z\xbcU\x1aq\xc8\xb0+\xf1\xe2\xac\xbd\x7fs\x9a\xfc\x9b""",DES
cat gorilla elephant apple elephant banana,OBHWuwtOHGGWgwHe,"b'\x87L\x18\x80\xca\xe5|\xeb\x16\xd7\xdcF\xf0r\xe0\xbf\xcd\xcf\xdd\xfe\xc5\x13""\x1e\x83\xff\x82\x9cPP\x975\x04\xd3\xdbz\x17\xfbn\xad\x13\x0b'",ARC4
gorilla jaguar jaguar horse banana iguana,hLohCwwXUkotvgUj,b'\xf8\x1c\x03\xb4\xb1_APd\xdb\xfd4p\x03=\x00\xb9\x8e&3\x8ca\x12\x83N7\xf4\x95-\xf9\xfb\xc1kh\x8dz\x86\x12B\xdf\x82*\xd3\x8a\xa3e\x87\x03',AES
gorilla jaguar jaguar horse banana iguana,hLohCwwXUkotvgUj,"b'\xe0\x88\x07\x82\xf0\x97\xbf\x17\xe2\xbd\xd5}\xc0G\xde8LO\x80\x9fW\x1b\x917\xff\x85\xfd\xfa\xe2""|\xf0\xa2vL\x0b]=\xa3\xde\xd2t\xc5\xb4/\xe3[k'",DES
gorilla jaguar jaguar horse banana iguana,hLohCwwXUkotvgUj,b'*\x14\x89\rJB>\xc7\xf9c\xbey\xc7\xd2\x8a\xdc \xc9\xfcP\xab\xa6\x9f\x89\xe7\xa88\xaa\x94`\xe4\x08\xc7\xa7\x91\x9ef\x02\xf3\xf2D',ARC4
jaguar cat jaguar,rvbivjlBzUISFxsx,b'\xb0$\xc1j\xece\xd0o\xcd\xd2\xd9t\xa3\xbbe\xec\x00\xd0\xf1;(\x08\xe9P\xd7\xd4\x87\xcd9\xfa\xe6\xa4',AES
jaguar cat jaguar,rvbivjlBzUISFxsx,b'H\x96u\xc6k\x01\xe1.\x1d\xf1R]\xa7N\x0bH\xd9ti\xc3\xa6k\xea\xa0',DES
jaguar cat jaguar,rvbivjlBzUISFxsx,b'\xa5\x14\x81.\x14\xbb\x9e\xc2FqN\xb4\xf7\xe2\xcb\xfe\xb8',ARC4
horse banana cat banana,nhYqeWcJgkRpFqFu,"b'\x9d\xde\xf54G\xca>i\xdc?\xbe\xc2]\x9f,\xe9\xc6\xc8`\xd8\xfb`\n\x9e\xc3\n\xcb]K\xae,\xf1'",AES
horse banana cat banana,nhYqeWcJgkRpFqFu,b'\xec\t\x93qmjkZ\xd4uc\x05IW\xfcH5\xa2\x81c}\xb4\x8f\xbd',DES
horse banana cat banana,nhYqeWcJgkRpFqFu,"b'v\xc8\xca\xb4\xe40\xb5\xc5}""X\xf6M\xf8\x8fB4\x17\x81\x97S{\x1c'",ARC4
cat banana apple fox elephant jaguar apple,tNJbZvoOqaehuanx,"b""$k\x87\xa1\xc6\x18\xdc\xf1\t\xd3\xd6\xa0#!#\xbe*Kh^\xfb\xcc\xcf\x83\xb4\xe1\xd7\xe33ZLz\x9b\x989\xc9\x8e\xef\x0e\xb4\xc1OYPM\x14\xf2'""",AES
cat banana apple fox elephant jaguar apple,tNJbZvoOqaehuanx,b')\xf30\xf1\x8f\x95\x11\x97\xb3q\x1a6\xe7\nJx\xb0\x92\x08<\xaf\x0e\xc34\x1a\x06X\xf0\x83kt\xa9\x95\x05\x00\x16H\x8b\xd6\xe0i~\x0b\x99\xe7\xb01;',DES
cat banana apple fox elephant jaguar apple,tNJbZvoOqaehuanx,"b'\xd2_W\t2i\xcaM\xc8\xb2\x87\xdf~\x94\x9aAPb\x91\xc8@d\t\x1c\x082\xbf\xadIel,~\xf0\xe4\x85rP\xd9\xf9\x8e\xc3'",ARC4
jaguar elephant gorilla banana jaguar,iFWZhmsUfDWVscpm,b'\xa2W-\xc9\x14L\xf0\xc1\xa3\x9fl\xa1\x1b\xd0\x07)\xd5\xbf\x9b\xf7^B_\xbb8\x02u\x9d\xd3\xf1]h\xce\x9a\xbf\x14\xac]1\x1a\xf7\x03\xdf\xfdy\x95Cy',AES
jaguar elephant gorilla banana jaguar,iFWZhmsUfDWVscpm,b'\x05\xd6\x11jT\xb2\xe8\xf0\x8fp\x8b$\xc0k\xc4\xc2\x90R\xe3&q\xea<\xef\x84\xd9P#\xe01\x93\xe5I\xde\xb8$\x86\xf1<o',DES
jaguar elephant gorilla banana jaguar,iFWZhmsUfDWVscpm,b'\x8b\xdei\x9f~\xe8\x99\xc5>\x1frCs\x81A\xd2\xa0l\x18\x1aX\xe0\x1a\xe0\x03\xa6\xbe-\x96\x10\xd5o\xca\xfa\xa1`\x7f',ARC4
apple dog horse fox,KeryBZYxqvtwoike,"b'\x8aO\x98\xd3\xf3\xb6\xaa\xdd\xa3_\x0e\xed\xb2\xae\x18k\xca,\x93|\xc9\xf2\xb8\xc7\xfb\xa7>\x0e\x95\x9dA\xea'",AES
apple dog horse fox,KeryBZYxqvtwoike,b'\x85CN\x83K\xe0T>.\xd5\x1cg\xf1*\xd0\xc3\xd9\xd9\xcf\x02\x95\xf2\xe2)',DES
apple dog horse fox,KeryBZYxqvtwoike,b'\xae\xad\x83\xcdc\x0c+j\xc1\xe3y\r!Q6\xc2\xdd\x89\r',ARC4
apple horse iguana cat apple apple jaguar iguana,yuXfcyoZlvIGNXoG,"b'/v\xd4C\xbe\x81\x94\xbd+\x18\xfa.)c\xfa\xb5\x0c?\xb1\xdeOL\xedP\x00}~\x88~9\xe44`)\xe7\xaf\x84#\xcaL]\xeavT\xc9\xc7\xecA,G\xb36\xdfh~\x8b\xae\xc5\xe3\xafU!B\x02'",AES
apple horse iguana cat apple apple jaguar iguana,yuXfcyoZlvIGNXoG,b'\x7f\xc4L\x11\x86\x19%\xdb\xc7\x95\x0f\xa2G\xe61\x07\x08\x19:u\x9b\xd54\xc0\x9b~B\xb6\xc6O;\xe6\xe7\x8a\xa3\x86k\x99\x14\x8aG\xce/\xc4x\x89\x86\xb2\x0e\xf3+\xc1\x0eL\xa8G',DES
apple horse iguana cat apple apple jaguar iguana,yuXfcyoZlvIGNXoG,b'\xfa6 \x14\x83?\x9c\xc8\x1fh\xebAG\xf9\xbf\x99\x1e\xc31\xf7F\xef-\xbe\x83ze9\xcd\x02;\xae;|8\x82\xa0\xe1\x95\x06x\x7f\tp \xe9\xe9\xb0',ARC4
cat dog fox,CTXBmagonXvCDctW,b'\xba\x9b\x87\n\xf5(v\x8axN\xea=\xeb\xb0`\x07',AES
cat dog fox,CTXBmagonXvCDctW,b'\x06\xdd|\x92\xc1\x0e+|\xba\x1bV\xb9\x9b]\xf8\x9f',DES
cat dog fox,CTXBmagonXvCDctW,b'\xe7H\xa3\x88}\xa6g\x11i&\x96',ARC4
elephant iguana jaguar,NacLDAlqBIjzkVNO,b'dx\x83\xff\x81\x86J\x94j`u\xfej)\x85\x05\x80.\x82\xb7\x86\x96\x81\xc6k;3n\xc7v\xe2\xf3',AES
elephant iguana jaguar,NacLDAlqBIjzkVNO,"b',a\xff\xd6\x9c\x96h+M\x94\x1e\xe0.\x82\x84J\x0b\xd2@\xf1\xb6\x90I\x9b'",DES
elephant iguana jaguar,NacLDAlqBIjzkVNO,b'\x87\x96#\x15\xca\x14\x91\x7f\x16\xec`f\xff\x02\xa6\xf3A\xd5S\xfb\x86\x89',ARC4
iguana banana apple fox gorilla gorilla horse dog,ohBmWcHkszEdDVGG,"b'\xdd\xc3I\xdfh`\x190\nJ\\\xe2\x88\xe4\x83P\xd2`\x7fg_\x86zc\xc2\xfez\x84\xdb\xdd\xcd\xac""QQ\xb2\x92\xc5\xa9H\xdd5o:@8\xdf\\\xc7\xcd\xb2\'\xac\xac3\r\x8b5\xc4\xc9*0\xc1\xe2'",AES
iguana banana apple fox gorilla gorilla horse dog,ohBmWcHkszEdDVGG,b'\x99\x1d>\xcd\xebr\x80\xee\x83=\xd7\xdf\x1e\x7fw\xf4\x8b\x98\x1d\x0c\xc3\xfe\xcb/\x93\x02d_\x90\\L\x1a\x93\x02d_\x90\\L\x1a8s\xa3\xe8\xd4\x08\xe4X\xf7\x80.)\xc1*\x9a+',DES
iguana banana apple fox gorilla gorilla horse dog,ohBmWcHkszEdDVGG,b'\xd5SM\xfdT\x03\xef\xc3\xf6D#^\xf6C3\xae\xd7an\xd8~\xe2\xdb!\xe5\xd0CYI+\xda\x02\xe2\x86\xbe&\xad%jC\xcf\xa2\xbe9\x86\x942d\xe1',ARC4
cat fox elephant fox,XbytVrdVlCovhlvO,b'\xd3\x8aZ\xa8\x86A\x03\x03EJ04\xd3\x80\x15\xc5]\xde\x03\x8d\xf7\xdf\x91\n\xe6\x13\x87\xa0\x1c\xac\xa6\x1f',AES
cat fox elephant fox,XbytVrdVlCovhlvO,b'o^\xa2)\x0b\x15\xc7\xd1{M\x82\xb3\xc4u`\xe8\xa56\x84\xeb\xff\x05\xf3\xea',DES
cat fox elephant fox,XbytVrdVlCovhlvO,b']\xb3O>\xa0}@\xc9+\xec\xd4z\xa0\x8a\xf9z\x82k@-',ARC4
elephant fox fox apple banana banana,OBvVHPnESwqksBgg,b'\xe8\xd7j\xfcL\x04\xed\xa1\xadvQE\xda\x8ar\x84\xee\xee\xfe\x0f\xe1\x8b\xbd\xaf_=\x96\x9e\xabV)\x83\x02\xc4:\x0b\xb8BK\xbf\x04]\xf5\xf2\x03\x96~>',AES
elephant fox fox apple banana banana,OBvVHPnESwqksBgg,b'\x13+\xc9\x97\xf6\xfe\xc8fC\x16\xe5\xbe\xc3\x1f2[;\xf1\n\xef6\xf9\x7f\x95e\xc0x\x9f\xe5 cX\xac\xf8\xeb\x84\x85\x07\xc2\xc3',DES
elephant fox fox apple banana banana,OBvVHPnESwqksBgg,"b"";\x99\xe9\xb4\xb1\xb5#\x95\xb7T\x06\xc7\x95I\x0f\xb4\xc8~k\x9e?\xcc'\x88WFAr\xf0S>\xfa*/\xe6\xed""",ARC4
jaguar horse apple jaguar fox,vpkaYvdmjWgnzBqh,b'\xd2Q^bJL\xbb(?<\xfa\xe4\xb52G\x1c\x17VR\x06\xb2{oe\xf9=%\xc3\xb8\x8bN\xd9',AES
jaguar horse apple jaguar fox,vpkaYvdmjWgnzBqh,b'\xbc\xef\xbf\xfe\xa1x\x9bT^\xb5\x02\x12\x85:\xc9\xc6\x88\xc6;\xa3\xed\xd2q\x94\x00J\xbdk%\xcdi\xcf',DES
jaguar horse apple jaguar fox,vpkaYvdmjWgnzBqh,"b'E\xa8q\xe7\x166~\xdc\x92\x7f""\x10\xba\xfe\xf6\x15i{\x9e\xb5q!jT=\xbd\xe1\x00\x0b'",ARC4
jaguar elephant gorilla horse apple apple elephant,iUrmcWbrMKHFqMBm,b'J\x83S\x16lwu\xaa\xef\x88\x0c\xe5\xad<\x13\x89\x100u\xf6\xda\x16\xbe\x80\x90\xe2\x95=\xfe\xaa3\xd6=g\xe0cT\n\xa3\xdd\xe0\xce\x0f\x89\x8d\x81\xca;\x1b+\xde\x8c\xf2\x15\xaf:\xa0\xe4^\x03k\xb8\xde?',AES
jaguar elephant gorilla horse apple apple elephant,iUrmcWbrMKHFqMBm,b')IC}t\x8a\x00y\x19\xfb\x05\xce\xde\xeaX\x97\x1ck\xe9pR5f\xa6\x1b\xfeS\x117\x93\xc7\xdbId\x9b\x19\x88/\x89x_\x1aY\x10\xea3_\x9e\r\xc5\xdfg\x174N\x85',DES
jaguar elephant gorilla horse apple apple elephant,iUrmcWbrMKHFqMBm,b'[\xee(\xe3\x16\x8b\xfcu.|@\x08\xa3x9<\x8d\xd0\xe3>\xf1\x0c\x84\x93[^\x15<\xee\x14\x81\xc0Y\xd4e]\x16\x83e\x9f/\xf1\x13;\xf0k+\xc9\xc4\xe8',ARC4
